name,a,elements,crystal_system,point_group,formula,plane,num_elements
Ta6Co16Si7 (111),15.65481986307013,"Co, Si, Ta",Cubic,m-3m,Ta6Co16Si7,(111),3
Ta6Fe16Si7 (111),15.70686043772635,"Fe, Si, Ta",Cubic,m-3m,Ta6Fe16Si7,(111),3
Ta6Fe7 (0001),4.862341199537673,"Fe, Ta",Trigonal,-3m,Ta6Fe7,(0001),2
Ta6Si7Ni16 (111),15.763154753792458,"Ni, Si, Ta",Cubic,m-3m,Ta6Si7Ni16,(111),3
Ta6Zn7 (0001),5.0225995284081275,"Ta, Zn",Trigonal,-3m,Ta6Zn7,(0001),2
Ta7(B4Ru3)2 (0001),9.539337248974599,"B, Ru, Ta",Hexagonal,6/m,Ta7(B4Ru3)2,(0001),3
Ta7Fe6 (0001),4.9386588080438365,"Fe, Ta",Trigonal,-3m,Ta7Fe6,(0001),2
Ta9(CoS3)2 (0001),10.314256752657837,"Co, S, Ta",Hexagonal,-6m2,Ta9(CoS3)2,(0001),3
Ta9(FeS3)2 (0001),10.383145653740067,"Fe, S, Ta",Hexagonal,-6m2,Ta9(FeS3)2,(0001),3
Ta9(NiS3)2 (0001),10.149808402953107,"Ni, S, Ta",Hexagonal,-6m2,Ta9(NiS3)2,(0001),3
TaAlCo2 (111),8.37374135788968,"Al, Co, Ta",Cubic,m-3m,TaAlCo2,(111),3
TaAlFe2 (111),8.294876129115515,"Al, Fe, Ta",Cubic,m-3m,TaAlFe2,(111),3
TaAlNi6 (0001),5.072351664431524,"Al, Ni, Ta",Hexagonal,6/mmm,TaAlNi6,(0001),3
TaAlOs2 (111),8.760328630430406,"Al, Os, Ta",Cubic,m-3m,TaAlOs2,(111),3
TaAlRu2 (111),8.701401547408969,"Al, Ru, Ta",Cubic,m-3m,TaAlRu2,(111),3
TaB2 (0001),3.0943055713927965,"B, Ta",Hexagonal,6/mmm,TaB2,(0001),2
TaBe3 (0001),4.5497198442266935,"Be, Ta",Trigonal,-3m,TaBe3,(0001),2
TaBeB (0001),3.249904203647754,"B, Be, Ta",Hexagonal,-6m2,TaBeB,(0001),3
TaBeRu2 (111),8.502459486969462,"Be, Ru, Ta",Cubic,m-3m,TaBeRu2,(111),3
