name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
KErS2 (0001),3.9943088496332013,6.918345868686699,"Er, K, S",Trigonal,-3m,KErS2,(0001),3
KErTe2 (0001),4.454602998756176,7.715598721394376,"Er, K, Te",Trigonal,-3m,KErTe2,(0001),3
KEu2Cl7 (001),7.179798,13.21605,"Cl, Eu, K",Monoclinic,2/m,KEu2Cl7,(001),3
KEu2Cl7 (100),13.21605,13.325374948384939,"Cl, Eu, K",Monoclinic,2/m,KEu2Cl7,(100),3
KEuF4 (001),3.67108708,6.15712068,"Eu, F, K",Orthorhombic,mmm,KEuF4,(001),3
KEuF4 (010),3.67108708,15.38284386,"Eu, F, K",Orthorhombic,mmm,KEuF4,(010),3
KEuF4 (100),6.15712068,15.38284386,"Eu, F, K",Orthorhombic,mmm,KEuF4,(100),3
KEuF4 (101),6.15712068,15.814827396152086,"Eu, F, K",Orthorhombic,mmm,KEuF4,(101),3
KEuF4 (110),7.168473716003051,15.38284386,"Eu, F, K",Orthorhombic,mmm,KEuF4,(110),3
KEuS2 (0001),4.20149674378748,7.277205828075113,"Eu, K, S",Trigonal,-3m,KEuS2,(0001),3
KF (100),5.308826810002095,5.308826810002095,"F, K",Cubic,m-3m,KF,(100),2
KF (110),5.308826810002095,7.507814874994859,"F, K",Cubic,m-3m,KF,(110),2
KF (111),7.507814874994859,13.003916817312474,"F, K",Cubic,m-3m,KF,(111),2
KF2 (001),4.94742870000607,4.94742870000607,"F, K",Tetragonal,4/mmm,KF2,(001),2
KF2 (100),4.94090774,4.94742870000607,"F, K",Tetragonal,4/mmm,KF2,(100),2
KF2 (101),4.94742870000607,6.9921112717716145,"F, K",Tetragonal,4/mmm,KF2,(101),2
KF2 (110),4.94090774,6.9967207664224755,"F, K",Tetragonal,4/mmm,KF2,(110),2
KF3 (001),7.371247,7.596485,"F, K",Orthorhombic,222,KF3,(001),2
KF3 (010),7.371247,9.897949,"F, K",Orthorhombic,222,KF3,(010),2
KF3 (100),7.596485,9.897949,"F, K",Orthorhombic,222,KF3,(100),2
KF3 (011),7.371247,12.477018023623513,"F, K",Orthorhombic,222,KF3,(011),2
KF3 (101),7.596485,12.341178093748182,"F, K",Orthorhombic,222,KF3,(101),2
KF3 (110),9.897949,10.584983074631438,"F, K",Orthorhombic,222,KF3,(110),2
KFe2S3 (001),9.10891126,10.76236562,"Fe, K, S",Orthorhombic,mmm,KFe2S3,(001),3
KFe2S3 (010),5.2606424,9.10891126,"Fe, K, S",Orthorhombic,mmm,KFe2S3,(010),3
KFe2S3 (100),5.2606424,10.76236562,"Fe, K, S",Orthorhombic,mmm,KFe2S3,(100),3
KFe2S3 (011),9.10891126,11.979268433390903,"Fe, K, S",Orthorhombic,mmm,KFe2S3,(011),3
KFe2S3 (101),10.518869844390725,10.76236562,"Fe, K, S",Orthorhombic,mmm,KFe2S3,(101),3
